"Location UID","line1","line2","lin3","town","county","post code"
"dd25078f-7ebf-4e07-a5d4-6345e525d8c0","First Floor","Lloyds Bank Chambers","24 Bondgate","Within Alnwck","Northumberland","NE66 1TD"
"4a7648d8-bd71-4ad5-9c5d-a7a5cc78ed2e","Cornhill House","26 Cornhill",,"Banbury","Oxfordshire","OX16 5NG"
"78419ce5-0d92-4c13-a9fa-993c92c79551","The Old Smithy","Sackville Road","","Bangor","Gwynedd","LL57 1LE"
"4468f2d4-1e9e-42d8-b049-79cdb3aaef1e","41b Hanbury Road","Bargoed",,"Caerphilly","","CF81 8QU"
"12f31b65-2117-49b3-b78d-8c6a3da45b94","Barking Learning Centre","2 Town Square","","Barking","Essex","IG11 7NB"
"27a9ea16-a86e-4d59-a15a-7a2999d383fd","Woodleigh","Flatts Road","","Barnard Castle","County Durham","DL12 8AA"
"19b76dca-7a51-4f14-a9d6-05e0496e122e","1st Floor","Wellington House","36 Wellington Street","Barnsley","South Yorkshire","S70 1WA"
"3bcaa343-1a4e-4310-87ff-71a897b44092","1 Bridge Buildings","The Strand",,"Barnstaple","Devon","EX31 1HF"
"525da418-ff2c-4522-90a9-bc70ba4ca78b","119 Broad Street","",,"Barry","Vale of Glamorgan","CF62 7TZ"
"75b56956-3ce8-4fac-86c5-6e56da08315d","Barton Local Link Office","Providence House",,"Holydyke","Burton-Upon-Humber","DN18 5PA"
"674d3fc4-efe5-43e2-a5a6-56cdd60e3653","The Basildon Centre","St Martins Square","Basildon Borough Council","Basildon","Essex","SS14 1DY"
"0c356ada-739b-4fef-8aa8-13c1c964a599","2 Edgar Buildings","George Street",,"Bath","Somerset","BA1 2EE"
"066e56c9-152c-4562-80e5-6a01bfdf424b","7a St Paul's Square","",,"Bedford","Bedfordshire","MK40 1SQ"
"226c7cc0-c538-41c4-a1e3-38f79425b87d","5 Tweed Street","",,"Berwick-upon-Tweed","Northumberland","TD15 1NG"
"dd18af79-8a1c-4db5-b3bd-ad11b3019f19","100 Lairgate","",,"Beverley","East Yorkshire","HU17 8JQ"
"ddc5113c-fb17-4cdb-be0e-76900446fb14","The Garth","Launton Road",,"Bicester","Oxfordshire","OX26 6PS"
"3d14734d-c5da-43ec-b414-b8f50f83fc7b","Century House","Market Square",,"Biggleswade","Bedfordshire","SG18 8UU"
"665bc19a-26d2-4f60-96ed-98e00c59fe1c","99 Dewhurst Road","Birchwood",,"Warrington","Cheshire","WA3 7PG"
"bed44cf4-8134-42a1-bcb2-74fa9ec45b0a","50 Argyle Street","",,"Wirral","Birkenhead","CH41 6AF"
